Detailed image,Category,Product code,Производитель,Название,Описание,Артикул,Тип кресла,Серия,Модель,Материал сиденья,Цвет обивки,Подлокотники,Тип спинки,Откидывание спинки,Допустимая нагрузка (кг),Функция кресла-качалки,Гарантия,Вес,Вес в упаковке,Размер в упаковке,Weight,ProductCodeToFind,Existance,Diller price,Max price,Shop price,Recommend price,Existance for filters,Page title,Meta description,Meta keywords

"MEZZO-BK/1.jpg#{[ru]:Игровое компьютерное кресло Arozzi Mezzo Black ;}///MEZZO-BK/2.jpg#{[ru]:Игровое компьютерное кресло Arozzi Mezzo Black ;}///MEZZO-BK/3.jpg#{[ru]:Игровое компьютерное кресло Arozzi Mezzo Black ;}///MEZZO-BK/4.jpg#{[ru]:Игровое компьютерное кресло Arozzi Mezzo Black ;}///MEZZO-BK/5.jpg
#{[ru]:Игровое компьютерное кресло Arozzi Mezzo Black ;}",Кресла для геймеров///Кресла Arozzi,MEZZO-BK,Arozzi,Игровое компьютерное кресло Arozzi Mezzo Black ,"<p><strong>Компьютерное кресло Mezzo обладает сдержанной элегантностью в линейке Arozzi.</strong>
</p>
<p>Его эргономичный дизайн, удобная поясничная и подголовная подушка, подлокотники с регулируемой высотой, многофункциональный наклон до 180 градусов (можно фиксировать в разных положениях), оптимизирован для работы, отдыха и даже сна. Лёгкая металлическая рама обложена упругим материалом который обтянуть гибкой и качественной эко кожей, все это поможет почувствовать максимальный комфорт сидя на кресле Mezzo. Палитра из 7-ми цветов даёт возможность выбрать идеально подходящий, для тех кто предпочитает сдержанную изысканность, вариант дополняющий свою игровую или рабочую обстановку.
</p>
<p><strong>Особенности </strong>
</p>
<ul>
        <li>Металлический каркас </li>
        <li>Эргономичный дизайн </li>
        <li>5 нейлоновых колёс обеспечивающие максимальную устойчивость </li>
        <li>Толстая обивка на спинке, сиденье и подлокотниках </li>
        <li>Легко отчищающийся материал </li>
        <li>Поврот на 360 градусов </li>
        <li>Регулируемая высота </li>
        <li>Наклон сиденья с функцией блокировки </li>
        <li>Регулируемая поясничная подушка </li>
        <li>Регулируемые подлокотники (по вращению и высоте) </li>
        <li>Облегченная конструкция для легкого передвижения </li>
        <li>7 различных вариантов цвета </li>
</ul>
<p><strong>О бренде Arozzi</strong>
</p>
<p>Arozzi - это шведская компания, основанная в 2013 году специализирующаяся на производстве эргономичных кресел для геймеров, а также других продуктов, такие как очки, столы, повышающие производительность в играх и работе за компьютером. Функционал, комфорт, качество - именно эти три составляющие легли в основу разработки продукции для геймеров от Arozzi.
</p>",MEZZO-BK,игровое,Mezzo,"
",экокожа,черный,регулируются,Высокая,до 165 градусов,130 кг,Есть,12 мес.,23 кг,27 кг,86 x 69 x 35 cm,27 кг,,20,22110,27990.00,26530,26530,20,Купить Игровое компьютерное кресло Arozzi Mezzo Black (mezzo-bk) по лучшей цене с доставкой в интернет-магазине esportshop.ru,"Игровое компьютерное кресло Arozzi Mezzo Black  ➤ характеристики, фото. Достоинства и недостатки модели - в отзывах покупателей, видео и обсуждениях. Скидки и акции. Большой ассортимент. Магазин настоящего кибератлета - esportshop.ru",
"MEZZO-BL/1.jpg#{[ru]:Игровое компьютерное кресло Arozzi Mezzo Blue ;}///MEZZO-BL/2.jpg#{[ru]:Игровое компьютерное кресло Arozzi Mezzo Blue ;}///MEZZO-BL/3.jpg#{[ru]:Игровое компьютерное кресло Arozzi Mezzo Blue ;}///MEZZO-BL/4.jpg#{[ru]:Игровое компьютерное кресло Arozzi Mezzo Blue ;}///MEZZO-BL/5.jpg
#{[ru]:Игровое компьютерное кресло Arozzi Mezzo Blue ;}",Кресла для геймеров///Кресла Arozzi,MEZZO-BL,Arozzi,Игровое компьютерное кресло Arozzi Mezzo Blue ,"<p><strong>Компьютерное кресло Mezzo обладает сдержанной элегантностью в линейке Arozzi.</strong>
</p>
<p>Его эргономичный дизайн, удобная поясничная и подголовная подушка, подлокотники с регулируемой высотой, многофункциональный наклон до 180 градусов (можно фиксировать в разных положениях), оптимизирован для работы, отдыха и даже сна. Лёгкая металлическая рама обложена упругим материалом который обтянуть гибкой и качественной эко кожей, все это поможет почувствовать максимальный комфорт сидя на кресле Mezzo. Палитра из 7-ми цветов даёт возможность выбрать идеально подходящий, для тех кто предпочитает сдержанную изысканность, вариант дополняющий свою игровую или рабочую обстановку.
</p>
<p><strong>Особенности </strong>
</p>
<ul>
	<li>Металлический каркас </li>
	<li>Эргономичный дизайн </li>
	<li>5 нейлоновых колёс обеспечивающие максимальную устойчивость </li>
	<li>Толстая обивка на спинке, сиденье и подлокотниках </li>
	<li>Легко отчищающийся материал </li>
	<li>Поврот на 360 градусов </li>
	<li>Регулируемая высота </li>
	<li>Наклон сиденья с функцией блокировки </li>
	<li>Регулируемая поясничная подушка </li>
	<li>Регулируемые подлокотники (по вращению и высоте) </li>
	<li>Облегченная конструкция для легкого передвижения </li>
	<li>7 различных вариантов цвета </li>
</ul>
<p><strong>О бренде Arozzi</strong>
</p>
<p>Arozzi - это шведская компания, основанная в 2013 году специализирующаяся на производстве эргономичных кресел для геймеров, а также других продуктов, такие как очки, столы, повышающие производительность в играх и работе за компьютером. Функционал, комфорт, качество - именно эти три составляющие легли в основу разработки продукции для геймеров от Arozzi.
</p>",MEZZO-BL,игровое,Mezzo,"
",экокожа,черный-синий,"регулируются
",Высокая,до 165 градусов,130 кг,Есть,12 мес.,23 кг,27 кг,86 x 69 x 35 cm,27 кг,,20,22110,27990.00,26530,26530,20,Купить Игровое компьютерное кресло Arozzi Mezzo Blue (mezzo-bl) по лучшей цене с доставкой в интернет-магазине esportshop.ru,"Игровое компьютерное кресло Arozzi Mezzo Blue  ➤ характеристики, фото. Достоинства и недостатки модели - в отзывах покупателей, видео и обсуждениях. Скидки и акции. Большой ассортимент. Магазин настоящего кибератлета - esportshop.ru",
"MEZZO-GN/1.jpg#{[ru]:Игровое компьютерное кресло Arozzi Mezzo Green ;}///MEZZO-GN/2.jpg#{[ru]:Игровое компьютерное кресло Arozzi Mezzo Green ;}///MEZZO-GN/3.jpg#{[ru]:Игровое компьютерное кресло Arozzi Mezzo Green ;}///MEZZO-GN/4.jpg#{[ru]:Игровое компьютерное кресло Arozzi Mezzo Green ;}///MEZZO-GN/5.jpg#{[ru]:Игровое компьютерное кресло Arozzi Mezzo Green ;}///MEZZO-GN/6.jpg
#{[ru]:Игровое компьютерное кресло Arozzi Mezzo Green ;}",Кресла для геймеров///Кресла Arozzi,MEZZO-GN,Arozzi,Игровое компьютерное кресло Arozzi Mezzo Green ,"<p><strong>Компьютерное кресло Mezzo обладает сдержанной элегантностью в линейке Arozzi.</strong>
</p>
<p>Его эргономичный дизайн, удобная поясничная и подголовная подушка, подлокотники с регулируемой высотой, многофункциональный наклон до 180 градусов (можно фиксировать в разных положениях), оптимизирован для работы, отдыха и даже сна. Лёгкая металлическая рама обложена упругим материалом который обтянуть гибкой и качественной эко кожей, все это поможет почувствовать максимальный комфорт сидя на кресле Mezzo. Палитра из 7-ми цветов даёт возможность выбрать идеально подходящий, для тех кто предпочитает сдержанную изысканность, вариант дополняющий свою игровую или рабочую обстановку.
</p>
<p><strong>Особенности </strong>
</p>
<ul>
        <li>Металлический каркас </li>
        <li>Эргономичный дизайн </li>
        <li>5 нейлоновых колёс обеспечивающие максимальную устойчивость </li>
        <li>Толстая обивка на спинке, сиденье и подлокотниках </li>
        <li>Легко отчищающийся материал </li>
        <li>Поврот на 360 градусов </li>
        <li>Регулируемая высота </li>
        <li>Наклон сиденья с функцией блокировки </li>
        <li>Регулируемая поясничная подушка </li>
        <li>Регулируемые подлокотники (по вращению и высоте) </li>
        <li>Облегченная конструкция для легкого передвижения </li>
        <li>7 различных вариантов цвета </li>
</ul>
<p><strong>О бренде Arozzi</strong>
</p>
<p>Arozzi - это шведская компания, основанная в 2013 году специализирующаяся на производстве эргономичных кресел для геймеров, а также других продуктов, такие как очки, столы, повышающие производительность в играх и работе за компьютером. Функционал, комфорт, качество - именно эти три составляющие легли в основу разработки продукции для геймеров от Arozzi.
</p>",MEZZO-GN,игровое,Mezzo,"
",экокожа,черный-зеленый,регулируются,Высокая,до 165 градусов,130 кг,Есть,12 мес.,23 кг,27 кг,86 x 69 x 35 cm,27 кг,,20,22110,27990.00,26530,26530,20,Купить Игровое компьютерное кресло Arozzi Mezzo Green (mezzo-gn) по лучшей цене с доставкой в интернет-магазине esportshop.ru,"Игровое компьютерное кресло Arozzi Mezzo Green  ➤ характеристики, фото. Достоинства и недостатки модели - в отзывах покупателей, видео и обсуждениях. Скидки и акции. Большой ассортимент. Магазин настоящего кибератлета - esportshop.ru",
"MEZZO-OR/1.jpg#{[ru]:Игровое компьютерное кресло Arozzi Mezzo Orange ;}///MEZZO-OR/2.jpg#{[ru]:Игровое компьютерное кресло Arozzi Mezzo Orange ;}///MEZZO-OR/3.jpg#{[ru]:Игровое компьютерное кресло Arozzi Mezzo Orange ;}///MEZZO-OR/4.jpg#{[ru]:Игровое компьютерное кресло Arozzi Mezzo Orange ;}///MEZZO-OR/5.jpg
#{[ru]:Игровое компьютерное кресло Arozzi Mezzo Orange ;}",Кресла для геймеров///Кресла Arozzi,MEZZO-OR,Arozzi,Игровое компьютерное кресло Arozzi Mezzo Orange ,"<p><strong>Компьютерное кресло Mezzo обладает сдержанной элегантностью в линейке Arozzi.</strong>
</p>
<p>Его эргономичный дизайн, удобная поясничная и подголовная подушка, подлокотники с регулируемой высотой, многофункциональный наклон до 180 градусов (можно фиксировать в разных положениях), оптимизирован для работы, отдыха и даже сна. Лёгкая металлическая рама обложена упругим материалом который обтянуть гибкой и качественной эко кожей, все это поможет почувствовать максимальный комфорт сидя на кресле Mezzo. Палитра из 7-ми цветов даёт возможность выбрать идеально подходящий, для тех кто предпочитает сдержанную изысканность, вариант дополняющий свою игровую или рабочую обстановку.
</p>
<p><strong>Особенности </strong>
</p>
<ul>
        <li>Металлический каркас </li>
        <li>Эргономичный дизайн </li>
        <li>5 нейлоновых колёс обеспечивающие максимальную устойчивость </li>
        <li>Толстая обивка на спинке, сиденье и подлокотниках </li>
        <li>Легко отчищающийся материал </li>
        <li>Поврот на 360 градусов </li>
        <li>Регулируемая высота </li>
        <li>Наклон сиденья с функцией блокировки </li>
        <li>Регулируемая поясничная подушка </li>
        <li>Регулируемые подлокотники (по вращению и высоте) </li>
        <li>Облегченная конструкция для легкого передвижения </li>
        <li>7 различных вариантов цвета </li>
</ul>
<p><strong>О бренде Arozzi</strong>
</p>
<p>Arozzi - это шведская компания, основанная в 2013 году специализирующаяся на производстве эргономичных кресел для геймеров, а также других продуктов, такие как очки, столы, повышающие производительность в играх и работе за компьютером. Функционал, комфорт, качество - именно эти три составляющие легли в основу разработки продукции для геймеров от Arozzi.
</p>",MEZZO-OR,игровое,Mezzo,"
",экокожа,черный-оранжевый,регулируются,Высокая,до 165 градусов,130 кг,Есть,12 мес.,23 кг,27 кг,86 x 69 x 35 cm,27 кг,,20,22110,27990.00,26530,26530,20,Купить Игровое компьютерное кресло Arozzi Mezzo Orange (mezzo-or) по лучшей цене с доставкой в интернет-магазине esportshop.ru,"Игровое компьютерное кресло Arozzi Mezzo Orange  ➤ характеристики, фото. Достоинства и недостатки модели - в отзывах покупателей, видео и обсуждениях. Скидки и акции. Большой ассортимент. Магазин настоящего кибератлета - esportshop.ru",
"MEZZO-RD/1.jpg#{[ru]:Игровое компьютерное кресло Arozzi Mezzo Red ;}///MEZZO-RD/2.jpg#{[ru]:Игровое компьютерное кресло Arozzi Mezzo Red ;}///MEZZO-RD/3.jpg#{[ru]:Игровое компьютерное кресло Arozzi Mezzo Red ;}///MEZZO-RD/4.jpg#{[ru]:Игровое компьютерное кресло Arozzi Mezzo Red ;}///MEZZO-RD/5.jpg
#{[ru]:Игровое компьютерное кресло Arozzi Mezzo Red ;}",Кресла для геймеров///Кресла Arozzi,MEZZO-RD,Arozzi,Игровое компьютерное кресло Arozzi Mezzo Red ,"<p><strong>Компьютерное кресло Mezzo обладает сдержанной элегантностью в линейке Arozzi.</strong>
</p>
<p>Его эргономичный дизайн, удобная поясничная и подголовная подушка, подлокотники с регулируемой высотой, многофункциональный наклон до 180 градусов (можно фиксировать в разных положениях), оптимизирован для работы, отдыха и даже сна. Лёгкая металлическая рама обложена упругим материалом который обтянуть гибкой и качественной эко кожей, все это поможет почувствовать максимальный комфорт сидя на кресле Mezzo. Палитра из 7-ми цветов даёт возможность выбрать идеально подходящий, для тех кто предпочитает сдержанную изысканность, вариант дополняющий свою игровую или рабочую обстановку.
</p>
<p><strong>Особенности </strong>
</p>
<ul>
	<li>Металлический каркас </li>
	<li>Эргономичный дизайн </li>
	<li>5 нейлоновых колёс обеспечивающие максимальную устойчивость </li>
	<li>Толстая обивка на спинке, сиденье и подлокотниках </li>
	<li>Легко отчищающийся материал </li>
	<li>Поврот на 360 градусов </li>
	<li>Регулируемая высота </li>
	<li>Наклон сиденья с функцией блокировки </li>
	<li>Регулируемая поясничная подушка </li>
	<li>Регулируемые подлокотники (по вращению и высоте) </li>
	<li>Облегченная конструкция для легкого передвижения </li>
	<li>7 различных вариантов цвета </li>
</ul>
<p><strong>О бренде Arozzi</strong>
</p>
<p>Arozzi - это шведская компания, основанная в 2013 году специализирующаяся на производстве эргономичных кресел для геймеров, а также других продуктов, такие как очки, столы, повышающие производительность в играх и работе за компьютером. Функционал, комфорт, качество - именно эти три составляющие легли в основу разработки продукции для геймеров от Arozzi.
</p>",MEZZO-RD,игровое,Mezzo,"
",экокожа,черный-красный,регулируются,Высокая,до 165 градусов,130 кг,Есть,12 мес.,23 кг,27 кг,86 x 69 x 35 cm,27 кг,,20,22110,27990.00,26530,26530,20,Купить Игровое компьютерное кресло Arozzi Mezzo Red (mezzo-rd) по лучшей цене с доставкой в интернет-магазине esportshop.ru,"Игровое компьютерное кресло Arozzi Mezzo Red  ➤ характеристики, фото. Достоинства и недостатки модели - в отзывах покупателей, видео и обсуждениях. Скидки и акции. Большой ассортимент. Магазин настоящего кибератлета - esportshop.ru",
"MEZZO-YL/1.jpg#{[ru]:Игровое компьютерное кресло Arozzi Mezzo Yellow ;}///MEZZO-YL/2.jpg#{[ru]:Игровое компьютерное кресло Arozzi Mezzo Yellow ;}///MEZZO-YL/3.jpg#{[ru]:Игровое компьютерное кресло Arozzi Mezzo Yellow ;}///MEZZO-YL/4.jpg#{[ru]:Игровое компьютерное кресло Arozzi Mezzo Yellow ;}///MEZZO-YL/5.jpg
#{[ru]:Игровое компьютерное кресло Arozzi Mezzo Yellow ;}",Кресла для геймеров///Кресла Arozzi,MEZZO-YL,Arozzi,Игровое компьютерное кресло Arozzi Mezzo Yellow ,"<p><strong>Компьютерное кресло Mezzo обладает сдержанной элегантностью в линейке Arozzi.</strong>
</p>
<p>Его эргономичный дизайн, удобная поясничная и подголовная подушка, подлокотники с регулируемой высотой, многофункциональный наклон до 180 градусов (можно фиксировать в разных положениях), оптимизирован для работы, отдыха и даже сна. Лёгкая металлическая рама обложена упругим материалом который обтянуть гибкой и качественной эко кожей, все это поможет почувствовать максимальный комфорт сидя на кресле Mezzo. Палитра из 7-ми цветов даёт возможность выбрать идеально подходящий, для тех кто предпочитает сдержанную изысканность, вариант дополняющий свою игровую или рабочую обстановку.
</p>
<p><strong>Особенности </strong>
</p>
<ul>
        <li>Металлический каркас </li>
        <li>Эргономичный дизайн </li>
        <li>5 нейлоновых колёс обеспечивающие максимальную устойчивость </li>
        <li>Толстая обивка на спинке, сиденье и подлокотниках </li>
        <li>Легко отчищающийся материал </li>
        <li>Поврот на 360 градусов </li>
        <li>Регулируемая высота </li>
        <li>Наклон сиденья с функцией блокировки </li>
        <li>Регулируемая поясничная подушка </li>
        <li>Регулируемые подлокотники (по вращению и высоте) </li>
        <li>Облегченная конструкция для легкого передвижения </li>
        <li>7 различных вариантов цвета </li>
</ul>
<p><strong>О бренде Arozzi</strong>
</p>
<p>Arozzi - это шведская компания, основанная в 2013 году специализирующаяся на производстве эргономичных кресел для геймеров, а также других продуктов, такие как очки, столы, повышающие производительность в играх и работе за компьютером. Функционал, комфорт, качество - именно эти три составляющие легли в основу разработки продукции для геймеров от Arozzi.
</p>",MEZZO-YL,игровое,Mezzo,"
",экокожа,черный-желтый,регулируются,Высокая,до 165 градусов,130 кг,Есть,12 мес.,23 кг,27 кг,86 x 69 x 35 cm,27 кг,,20,22110,27990.00,26530,26530,20,Купить Игровое компьютерное кресло Arozzi Mezzo Yellow (mezzo-yl) по лучшей цене с доставкой в интернет-магазине esportshop.ru,"Игровое компьютерное кресло Arozzi Mezzo Yellow  ➤ характеристики, фото. Достоинства и недостатки модели - в отзывах покупателей, видео и обсуждениях. Скидки и акции. Большой ассортимент. Магазин настоящего кибератлета - esportshop.ru",
"MONZA-YL/1.jpg#{[ru]:Игровое компьютерное кресло Arozzi Monza - Yellow;}///MONZA-YL/2.jpg#{[ru]:Игровое компьютерное кресло Arozzi Monza - Yellow;}///MONZA-YL/3.jpg#{[ru]:Игровое компьютерное кресло Arozzi Monza - Yellow;}///MONZA-YL/4.jpg#{[ru]:Игровое компьютерное кресло Arozzi Monza - Yellow;}///MONZA-YL/5.jpg
#{[ru]:Игровое компьютерное кресло Arozzi Monza - Yellow;}",Кресла для геймеров///Кресла Arozzi,MONZA-YL,Arozzi,Игровое компьютерное кресло Arozzi Monza - Yellow,"<p><strong>Компьютерное кресло (для геймеров) Arozzi Monza - Yellow </strong>
</p>
<p>Когда вы заняты игровыми баталиями или работой за компьютером, кресло Arozzi Monza обеспечит комфортабельное времяпрепровождение на протяжении всего сеанса.
</p>
<p><strong>Arozzi Monza</strong> спроектирован в Швеции, отличаются от обычных компьютерных кресел своими эргономичными функциями (дополнительная толстая обивка для спины, подлокотников и сиденья), которые позволяют проводить долгие сеансы игры или работы без утомительной усталости. Многообразие цветовой палитры позволит выбрать наиболее интересный для Вас вариант.
</p>
<p><strong>Дома, в офисе, на соревнованиях</strong> – где бы Вы не были,Monza поможет улучшить производительность своего дела… с комфортом и стилем!
</p>
<p><strong>Особенности </strong>
</p>
<ul>
	<li>Эргономичный дизайн </li>
	<li>5 нейлоновых колёс обеспечивающие максимальную устойчивость </li>
	<li>Лёгкая конструкция для лёгкого перемещения </li>
	<li>Толстая обивка на спинке, сиденье и подлокотниках </li>
	<li>Легко отчищающийся материал </li>
	<li>Поврот на 360 градусов </li>
	<li>Регулируемая высота </li>
	<li>Наклон сиденья с функцией блокировки </li>
</ul>
<p><strong>О бренде Arozzi</strong>
</p>
<p>Arozzi - это шведская компания, основанная в 2013 году специализирующаяся на производстве эргономичных кресел для геймеров, а также других продуктов, такие как очки, столы, повышающие производительность в играх и работе за компьютером. Функционал, комфорт, качество - именно эти три составляющие легли в основу разработки продукции для геймеров от Arozzi.
</p>",MONZA-YL,игровое,Monza,"
",экокожа,черный-желтый,не регулируются,Средяя,нет,105 кг,Есть,12 мес.,15 кг,17 кг,79 x 64 x 32см,17 кг,,20,11840,14990.00,14200,14200,20,Купить Игровое компьютерное кресло Arozzi Monza - Yellow(monza-yl) по лучшей цене с доставкой в интернет-магазине esportshop.ru,"Игровое компьютерное кресло Arozzi Monza - Yellow ➤ характеристики, фото. Достоинства и недостатки модели - в отзывах покупателей, видео и обсуждениях. Скидки и акции. Большой ассортимент. Магазин настоящего кибератлета - esportshop.ru",
"TORRETTA-GY/1.jpg#{[ru]:Игровое компьютерное кресло Arozzi Torretta Green V2 ;}///TORRETTA-GY/2.jpg#{[ru]:Игровое компьютерное кресло Arozzi Torretta Green V2 ;}///TORRETTA-GY/3.jpg#{[ru]:Игровое компьютерное кресло Arozzi Torretta Green V2 ;}///TORRETTA-GY/4.jpg#{[ru]:Игровое компьютерное кресло Arozzi Torretta Green V2 ;}///TORRETTA-GY/5.jpg
#{[ru]:Игровое компьютерное кресло Arozzi Torretta Green V2 ;}",Кресла для геймеров///Кресла Arozzi,TORRETTA-GY ,Arozzi,Игровое компьютерное кресло Arozzi Torretta Green V2 ,"<p><strong>Компьютерное кресло (для геймеров) Arozzi Torretta Grey V2 </strong>
</p>
<p>Линейка компьютерных кресел Arozzi Torretta и Torretta XL предлагает существенные улучшения комфорта пользования и дизайна, которые помогут Вам полностью погрузиться в любимые игры и повысить производительность на своём рабочем месте. Качество ткани и дышащее покрытие не позволяют ощутить дискомфорт даже в самые стрессовые моменты, а гладкий и стильный внешний вид, разработанный командой Arozzi, ценятся геймерами по всему миру. !
</p>
<p><strong>Кресла Arozzi Torretta </strong>спроектированы в Швеции с улучшенными эргономичными функциями, включая в себя регулируемые по высоте и вращению подлокотники, дополнительную поясничную опору и опору для головы, а также толстое мягкое сиденье и спинку. Кроме того модель XL предлагает увеличенную ширину сиденья и спинки, для тех кто предпочитает ощущать больше пространства на своём месте. !
</p>
<p><strong>Дома, в офисе, на соревнованиях</strong> – где бы Вы не были, Torretta и Torretta XL поможет улучшить производительность своего дела… с комфортом и стилем!
</p>
<p><strong>Особенности </strong>
</p>
<ul>
        <li>Металлический каркас </li>
        <li>Эргономичный дизайн </li>
        <li>5 нейлоновых колёс обеспечивающие максимальную устойчивость </li>
        <li>Толстая обивка на спинке, сиденье и подлокотниках </li>
        <li>Легко отчищающийся материал </li>
        <li>Поврот на 360 градусов </li>
        <li>Регулируемая высота </li>
        <li>Наклон сиденья с функцией блокировки </li>
        <li>Регулируемая поясничная подушка </li>
        <li>Регулируемые подлокотники (по вращению и высоте) </li>
        <li>Облегченная конструкция для легкого передвижения </li>
        <li>7 различных вариантов цвета </li>
</ul>
<p><strong>О бренде Arozzi</strong>
</p>
<p>Arozzi - это шведская компания, основанная в 2013 году специализирующаяся на производстве эргономичных кресел для геймеров, а также других продуктов, такие как очки, столы, повышающие производительность в играх и работе за компьютером. Функционал, комфорт, качество - именно эти три составляющие легли в основу разработки продукции для геймеров от Arozzi.
</p>",TORRETTA-GY ,игровое,Torretta ,"
 V2 ",текстиль,черный-зеленый,регулируются,Высокая,до 165 градусов,105 кг,Есть,12 мес.,21 кг,24.5 кг,88 x 71 x 39 см,24.5 кг,,,,,,,,,,
"ENZO-BK/1.jpg#{[ru]:Игровое компьютерное кресло Arozzi Enzo, Black;}///ENZO-BK/2.jpg#{[ru]:Игровое компьютерное кресло Arozzi Enzo, Black;}///ENZO-BK/3.jpg#{[ru]:Игровое компьютерное кресло Arozzi Enzo, Black;}///ENZO-BK/4.jpg#{[ru]:Игровое компьютерное кресло Arozzi Enzo, Black;}///ENZO-BK/5.jpg
#{[ru]:Игровое компьютерное кресло Arozzi Enzo, Black;}",Кресла для геймеров///Кресла Arozzi,ENZO-BK,Arozzi,"Игровое компьютерное кресло Arozzi Enzo, Black","<p><strong>Компьютерное кресло (для геймеров) Arozzi Enzo, Black (чёрное) </strong>
</p>
<p>Компьютерное кресло Arozzi Enzo обеспечивает полный комфорт, который даёт вам почувствовать преимущество как в работе, так и играя в любимую игрушку.
</p>
<p><strong>Arozzi Enzo </strong>спроектирован в Швеции и отличается от обычных компьютерных кресел своими эргономичными функциями (дополнительная толстая обивка спинки, подлокотников и сиденья), которые позволяют проводить долгие сеансы игры или работы без утомительной усталости. Многообразие цветовой палитры позволит выбрать наиболее интересный для вас вариант.
</p>
<p><strong>Дома, в офисе, на соревнованиях</strong> – где бы Вы не были, Enzo поможет улучшить вашу производительность.
</p>
<p><strong>Особенности </strong>
</p>
<ul>
        <li>Эргономичный дизайн</li>
        <li>5 нейлоновых колёс, обеспечивающих максимальную устойчивость</li>
        <li>Лёгкая конструкция для лёгкого перемещения</li>
        <li>Толстая обивка на спинке, сиденье и подлокотниках</li>
        <li>Легко очищающийся материал</li>
        <li>Поврот на 360 градусов</li>
        <li>Регулируемая высота</li>
        <li>Наклон сиденья с функцией блокировки</li>
</ul>
<p><strong>О бренде Arozzi</strong>
</p>
<p>Arozzi - это шведская компания, основанная в 2013 году специализирующаяся на производстве эргономичных кресел для геймеров, а также других продуктов, такие как очки, столы, повышающие производительность в играх и работе за компьютером. Функционал, комфорт, качество - именно эти три составляющие легли в основу разработки продукции для геймеров от Arozzi.
</p>",ENZO-BK,игровое,Enzo,"
",экокожа,черный,не регулируются,Высокая,нет,105 кг,Есть,12 мес.,15 кг,17 кг,79 x 64 x 32 см,17 кг,,20,11840,14990.00,14200,14200,20,"Купить Игровое компьютерное кресло Arozzi Enzo, Black(enzo-bk) по лучшей цене с доставкой в интернет-магазине esportshop.ru","Игровое компьютерное кресло Arozzi Enzo, Black ➤ характеристики, фото. Достоинства и недостатки модели - в отзывах покупателей, видео и обсуждениях. Скидки и акции. Большой ассортимент. Магазин настоящего кибератлета - esportshop.ru",
