Detailed image,Category,Product code,Производитель,Название,Описание,Артикул,Тип кресла,Серия,Модель,Материал сиденья,Цвет обивки,Подлокотники,Тип спинки,Откидывание спинки,Допустимая нагрузка (кг),Рост(см),Функция кресла-качалки,Ролики,Страна производитель,Гарантия,Вес,Weight,ProductCodeToFind,Existance,Diller price,Max price,Diller Name,Shop price,Recommend price,Existance for filters,Page title,Meta description,Meta keywords

"OH:FD99:N/1.jpg#{[ru]:Игровое компьютерное кресло DXRacer Formula OH/FD99/N;}///OH:FD99:N/2.jpg#{[ru]:Игровое компьютерное кресло DXRacer Formula OH/FD99/N;}///OH:FD99:N/3.jpg#{[ru]:Игровое компьютерное кресло DXRacer Formula OH/FD99/N;}///OH:FD99:N/4.jpg#{[ru]:Игровое компьютерное кресло DXRacer Formula OH/FD99/N;}///OH:FD99:N/5.jpg#{[ru]:Игровое компьютерное кресло DXRacer Formula OH/FD99/N;}///OH:FD99:N/6.jpg#{[ru]:Игровое компьютерное кресло DXRacer Formula OH/FD99/N;}///OH:FD99:N/7.jpg#{[ru]:Игровое компьютерное кресло DXRacer Formula OH/FD99/N;}///OH:FD99:N/8.jpg#{[ru]:Игровое компьютерное кресло DXRacer Formula OH/FD99/N;}///OH:FD99:N/9.jpg
#{[ru]:Игровое компьютерное кресло DXRacer Formula OH/FD99/N;}",Кресла для геймеров///Кресла DXRacer,OH/FD99/N,DXRacer,Игровое компьютерное кресло DXRacer Formula OH/FD99/N,"<p><strong>Серия Formula </strong>– младшая серия DXRacer для людей ростом до 180см и не слишком крупной комплекции. При этом сохранено традиционное качество DXRacer и кресло оснащено всеми необходимыми регулировками: спинка анатомической формы с боковой поддержкой откидывается на 170 градусов, подлокотники регулируются по высоте и углу поворота, предусмотрена регулировка сиденья по высоте и механизм качания с настраиваемой степенью сопротивления. В комплекте с каждым креслом поставляются две анатомические подушки: под поясницу и под голову.
</p>
<p>Обивка кресел<strong> </strong>серии F выполнена из прочных и устойчивых к высоким нагрузкам и истиранию материалов: текстиля, эко-кожи и эко-кожи с карбоновыми вставками. Подлокотники на разных моделях кресел F-серии обладают настройками по высоте или в трех плоскостях: по высоте, углу поворота, и вперед-назад. Для качания используется механизм Топ-Ган с настраиваемой жесткостью пружины. В зависимости от модели, в основании кресла ставится алюминиевая или нейлоновая крестовина с цветными рельефными вставками и с пятью прорезиненными колесиками диаметром два дюйма.
</p>
<p>Кресло серии F будет отличным подарком для девушки или подростка.
</p>",OH/FD99/N,Игровое,F-серия «Formula».,FD99,PU-кожа,Черный,Регулируемые по высоте,Высокая,170 градусов,до 110 кг,до 185 см,Есть,Прорезиненные,Китай,2 года,"22,3 кг","22,3 кг",,20,19190,24300.00,,23900,22700,20,Купить Игровое компьютерное кресло DXRacer Formula OH/FD99/N(oh/fd99/n) по лучшей цене с доставкой в интернет-магазине esportshop.ru,"Игровое компьютерное кресло DXRacer Formula OH/FD99/N ➤ характеристики, фото. Достоинства и недостатки модели - в отзывах покупателей, видео и обсуждениях. Скидки и акции. Большой ассортимент. Магазин настоящего кибератлета - esportshop.ru",foxgamer
"OH:FD99:EN/1.jpg#{[ru]:Игровое компьютерное кресло DXRacer Formula OH/FD99/EN;}///OH:FD99:EN/2.jpg#{[ru]:Игровое компьютерное кресло DXRacer Formula OH/FD99/EN;}///OH:FD99:EN/3.jpg
#{[ru]:Игровое компьютерное кресло DXRacer Formula OH/FD99/EN;}",Кресла для геймеров///Кресла DXRacer,OH/FD99/EN,DXRacer,Игровое компьютерное кресло DXRacer Formula OH/FD99/EN,"<p><strong>Серия Formula </strong>– младшая серия DXRacer для людей ростом до 180см и не слишком крупной комплекции. При этом сохранено традиционное качество DXRacer и кресло оснащено всеми необходимыми регулировками: спинка анатомической формы с боковой поддержкой откидывается на 170 градусов, подлокотники регулируются по высоте и углу поворота, предусмотрена регулировка сиденья по высоте и механизм качания с настраиваемой степенью сопротивления. В комплекте с каждым креслом поставляются две анатомические подушки: под поясницу и под голову.
</p>
<p>Обивка кресел<strong> </strong>серии F выполнена из прочных и устойчивых к высоким нагрузкам и истиранию материалов: текстиля, эко-кожи и эко-кожи с карбоновыми вставками. Подлокотники на разных моделях кресел F-серии обладают настройками по высоте или в трех плоскостях: по высоте, углу поворота, и вперед-назад. Для качания используется механизм Топ-Ган с настраиваемой жесткостью пружины. В зависимости от модели, в основании кресла ставится алюминиевая или нейлоновая крестовина с цветными рельефными вставками и с пятью прорезиненными колесиками диаметром два дюйма.
</p>
<p>Кресло серии F будет отличным подарком для девушки или подростка.
</p>",OH/FD99/EN,Игровое,F-серия «Formula».,FD99,PU-кожа,Зелёный/Черный,Регулируемые по высоте,Высокая,170 градусов,до 110 кг,до 185 см,Есть,Прорезиненные,Китай,2 года,"22,3 кг","22,3 кг",,0,20790,25990,,23900,22700,0,Купить Игровое компьютерное кресло DXRacer Formula OH/FD99/EN(oh/fd99/en) по лучшей цене с доставкой в интернет-магазине esportshop.ru,"Игровое компьютерное кресло DXRacer Formula OH/FD99/EN ➤ характеристики, фото. Достоинства и недостатки модели - в отзывах покупателей, видео и обсуждениях. Скидки и акции. Большой ассортимент. Магазин настоящего кибератлета - esportshop.ru",dxracer
"OH:FD99:NE/1.jpg#{[ru]:Игровое компьютерное кресло DXRacer Formula OH/FD99/NE;}///OH:FD99:NE/2.jpg#{[ru]:Игровое компьютерное кресло DXRacer Formula OH/FD99/NE;}///OH:FD99:NE/3.jpg
#{[ru]:Игровое компьютерное кресло DXRacer Formula OH/FD99/NE;}",Кресла для геймеров///Кресла DXRacer,OH/FD99/NE,DXRacer,Игровое компьютерное кресло DXRacer Formula OH/FD99/NE,"<p><strong>Серия Formula </strong>– младшая серия DXRacer для людей ростом до 180см и не слишком крупной комплекции. При этом сохранено традиционное качество DXRacer и кресло оснащено всеми необходимыми регулировками: спинка анатомической формы с боковой поддержкой откидывается на 170 градусов, подлокотники регулируются по высоте и углу поворота, предусмотрена регулировка сиденья по высоте и механизм качания с настраиваемой степенью сопротивления. В комплекте с каждым креслом поставляются две анатомические подушки: под поясницу и под голову.
</p>
<p>Обивка кресел<strong> </strong>серии F выполнена из прочных и устойчивых к высоким нагрузкам и истиранию материалов: текстиля, эко-кожи и эко-кожи с карбоновыми вставками. Подлокотники на разных моделях кресел F-серии обладают настройками по высоте или в трех плоскостях: по высоте, углу поворота, и вперед-назад. Для качания используется механизм Топ-Ган с настраиваемой жесткостью пружины. В зависимости от модели, в основании кресла ставится алюминиевая или нейлоновая крестовина с цветными рельефными вставками и с пятью прорезиненными колесиками диаметром два дюйма.
</p>
<p>Кресло серии F будет отличным подарком для девушки или подростка.
</p>",OH/FD99/NE,Игровое,F-серия «Formula».,FD99,PU-кожа,Черный/Зелёный,Регулируемые по высоте,Высокая,170 градусов,до 110 кг,до 185 см,Есть,Прорезиненные,Китай,2 года,"22,3 кг","22,3 кг",,0,20770,26300.00,,23900,22700,20,Купить Игровое компьютерное кресло DXRacer Formula OH/FD99/NE(oh/fd99/ne) по лучшей цене с доставкой в интернет-магазине esportshop.ru,"Игровое компьютерное кресло DXRacer Formula OH/FD99/NE ➤ характеристики, фото. Достоинства и недостатки модели - в отзывах покупателей, видео и обсуждениях. Скидки и акции. Большой ассортимент. Магазин настоящего кибератлета - esportshop.ru",foxgamer
"OH:FD99:NW/1.jpg#{[ru]:Игровое компьютерное кресло DXRacer Formula OH/FD99/NW;}///OH:FD99:NW/2.jpg#{[ru]:Игровое компьютерное кресло DXRacer Formula OH/FD99/NW;}///OH:FD99:NW/3.jpg
#{[ru]:Игровое компьютерное кресло DXRacer Formula OH/FD99/NW;}",Кресла для геймеров///Кресла DXRacer,OH/FD99/NW,DXRacer,Игровое компьютерное кресло DXRacer Formula OH/FD99/NW,"<p><strong>Серия Formula </strong>– младшая серия DXRacer для людей ростом до 180см и не слишком крупной комплекции. При этом сохранено традиционное качество DXRacer и кресло оснащено всеми необходимыми регулировками: спинка анатомической формы с боковой поддержкой откидывается на 170 градусов, подлокотники регулируются по высоте и углу поворота, предусмотрена регулировка сиденья по высоте и механизм качания с настраиваемой степенью сопротивления. В комплекте с каждым креслом поставляются две анатомические подушки: под поясницу и под голову.
</p>
<p>Обивка кресел<strong> </strong>серии F выполнена из прочных и устойчивых к высоким нагрузкам и истиранию материалов: текстиля, эко-кожи и эко-кожи с карбоновыми вставками. Подлокотники на разных моделях кресел F-серии обладают настройками по высоте или в трех плоскостях: по высоте, углу поворота, и вперед-назад. Для качания используется механизм Топ-Ган с настраиваемой жесткостью пружины. В зависимости от модели, в основании кресла ставится алюминиевая или нейлоновая крестовина с цветными рельефными вставками и с пятью прорезиненными колесиками диаметром два дюйма.
</p>
<p>Кресло серии F будет отличным подарком для девушки или подростка.
</p>",OH/FD99/NW,Игровое,F-серия «Formula».,FD99,PU-кожа,Черный/Белый,Регулируемые по высоте,Высокая,170 градусов,до 110 кг,до 185 см,Есть,Прорезиненные,Китай,2 года,"22,3 кг","22,3 кг",,0,20790,25990,,23900,22700,0,Купить Игровое компьютерное кресло DXRacer Formula OH/FD99/NW(oh/fd99/nw) по лучшей цене с доставкой в интернет-магазине esportshop.ru,"Игровое компьютерное кресло DXRacer Formula OH/FD99/NW ➤ характеристики, фото. Достоинства и недостатки модели - в отзывах покупателей, видео и обсуждениях. Скидки и акции. Большой ассортимент. Магазин настоящего кибератлета - esportshop.ru",dxracer
"OH:FD99:NR/1.jpg#{[ru]:Игровое компьютерное кресло DXRacer Formula OH/FD99/NR;}///OH:FD99:NR/2.jpg#{[ru]:Игровое компьютерное кресло DXRacer Formula OH/FD99/NR;}///OH:FD99:NR/3.jpg
#{[ru]:Игровое компьютерное кресло DXRacer Formula OH/FD99/NR;}",Кресла для геймеров///Кресла DXRacer,OH/FD99/NR,DXRacer,Игровое компьютерное кресло DXRacer Formula OH/FD99/NR,"<p><strong>Серия Formula </strong>– младшая серия DXRacer для людей ростом до 180см и не слишком крупной комплекции. При этом сохранено традиционное качество DXRacer и кресло оснащено всеми необходимыми регулировками: спинка анатомической формы с боковой поддержкой откидывается на 170 градусов, подлокотники регулируются по высоте и углу поворота, предусмотрена регулировка сиденья по высоте и механизм качания с настраиваемой степенью сопротивления. В комплекте с каждым креслом поставляются две анатомические подушки: под поясницу и под голову.
</p>
<p>Обивка кресел<strong> </strong>серии F выполнена из прочных и устойчивых к высоким нагрузкам и истиранию материалов: текстиля, эко-кожи и эко-кожи с карбоновыми вставками. Подлокотники на разных моделях кресел F-серии обладают настройками по высоте или в трех плоскостях: по высоте, углу поворота, и вперед-назад. Для качания используется механизм Топ-Ган с настраиваемой жесткостью пружины. В зависимости от модели, в основании кресла ставится алюминиевая или нейлоновая крестовина с цветными рельефными вставками и с пятью прорезиненными колесиками диаметром два дюйма.
</p>
<p>Кресло серии F будет отличным подарком для девушки или подростка.
</p>",OH/FD99/NR,Игровое,F-серия «Formula».,FD99,PU-кожа,Черный/Красный,Регулируемые по высоте,Высокая,170 градусов,до 110 кг,до 185 см,Есть,Прорезиненные,Китай,2 года,"22,3 кг","22,3 кг",,0,20770,26300.00,,23900,22700,20,Купить Игровое компьютерное кресло DXRacer Formula OH/FD99/NR(oh/fd99/nr) по лучшей цене с доставкой в интернет-магазине esportshop.ru,"Игровое компьютерное кресло DXRacer Formula OH/FD99/NR ➤ характеристики, фото. Достоинства и недостатки модели - в отзывах покупателей, видео и обсуждениях. Скидки и акции. Большой ассортимент. Магазин настоящего кибератлета - esportshop.ru",foxgamer
"OH:FD99:NB/1.jpg#{[ru]:Игровое компьютерное кресло DXRacer Formula OH/FD99/NB;}///OH:FD99:NB/2.jpg#{[ru]:Игровое компьютерное кресло DXRacer Formula OH/FD99/NB;}///OH:FD99:NB/3.jpg
#{[ru]:Игровое компьютерное кресло DXRacer Formula OH/FD99/NB;}",Кресла для геймеров///Кресла DXRacer,OH/FD99/NB,DXRacer,Игровое компьютерное кресло DXRacer Formula OH/FD99/NB,"<p><strong>Серия Formula </strong>– младшая серия DXRacer для людей ростом до 180см и не слишком крупной комплекции. При этом сохранено традиционное качество DXRacer и кресло оснащено всеми необходимыми регулировками: спинка анатомической формы с боковой поддержкой откидывается на 170 градусов, подлокотники регулируются по высоте и углу поворота, предусмотрена регулировка сиденья по высоте и механизм качания с настраиваемой степенью сопротивления. В комплекте с каждым креслом поставляются две анатомические подушки: под поясницу и под голову.
</p>
<p>Обивка кресел<strong> </strong>серии F выполнена из прочных и устойчивых к высоким нагрузкам и истиранию материалов: текстиля, эко-кожи и эко-кожи с карбоновыми вставками. Подлокотники на разных моделях кресел F-серии обладают настройками по высоте или в трех плоскостях: по высоте, углу поворота, и вперед-назад. Для качания используется механизм Топ-Ган с настраиваемой жесткостью пружины. В зависимости от модели, в основании кресла ставится алюминиевая или нейлоновая крестовина с цветными рельефными вставками и с пятью прорезиненными колесиками диаметром два дюйма.
</p>
<p>Кресло серии F будет отличным подарком для девушки или подростка.
</p>",OH/FD99/NB,Игровое,F-серия «Formula».,FD99,PU-кожа,Черный/Синий,Регулируемые по высоте,Высокая,170 градусов,до 110 кг,до 185 см,Есть,Прорезиненные,Китай,2 года,"22,3 кг","22,3 кг",,0,20790,25990,,23900,22700,0,Купить Игровое компьютерное кресло DXRacer Formula OH/FD99/NB(oh/fd99/nb) по лучшей цене с доставкой в интернет-магазине esportshop.ru,"Игровое компьютерное кресло DXRacer Formula OH/FD99/NB ➤ характеристики, фото. Достоинства и недостатки модели - в отзывах покупателей, видео и обсуждениях. Скидки и акции. Большой ассортимент. Магазин настоящего кибератлета - esportshop.ru",dxracer
"OH:FD99:NO/1.jpg#{[ru]:Игровое компьютерное кресло DXRacer Formula OH/FD99/NO;}///OH:FD99:NO/2.jpg#{[ru]:Игровое компьютерное кресло DXRacer Formula OH/FD99/NO;}///OH:FD99:NO/3.jpg
#{[ru]:Игровое компьютерное кресло DXRacer Formula OH/FD99/NO;}",Кресла для геймеров///Кресла DXRacer,OH/FD99/NO,DXRacer,Игровое компьютерное кресло DXRacer Formula OH/FD99/NO,"<p><strong>Серия Formula </strong>– младшая серия DXRacer для людей ростом до 180см и не слишком крупной комплекции. При этом сохранено традиционное качество DXRacer и кресло оснащено всеми необходимыми регулировками: спинка анатомической формы с боковой поддержкой откидывается на 170 градусов, подлокотники регулируются по высоте и углу поворота, предусмотрена регулировка сиденья по высоте и механизм качания с настраиваемой степенью сопротивления. В комплекте с каждым креслом поставляются две анатомические подушки: под поясницу и под голову.
</p>
<p>Обивка кресел<strong> </strong>серии F выполнена из прочных и устойчивых к высоким нагрузкам и истиранию материалов: текстиля, эко-кожи и эко-кожи с карбоновыми вставками. Подлокотники на разных моделях кресел F-серии обладают настройками по высоте или в трех плоскостях: по высоте, углу поворота, и вперед-назад. Для качания используется механизм Топ-Ган с настраиваемой жесткостью пружины. В зависимости от модели, в основании кресла ставится алюминиевая или нейлоновая крестовина с цветными рельефными вставками и с пятью прорезиненными колесиками диаметром два дюйма.
</p>
<p>Кресло серии F будет отличным подарком для девушки или подростка.
</p>",OH/FD99/NO,Игровое,F-серия «Formula».,FD99,PU-кожа,Черный/Оранжевый,Регулируемые по высоте,Высокая,170 градусов,до 110 кг,до 185 см,Есть,Прорезиненные,Китай,2 года,"22,3 кг","22,3 кг",,0,20790,25990,,23900,22700,0,Купить Игровое компьютерное кресло DXRacer Formula OH/FD99/NO(oh/fd99/no) по лучшей цене с доставкой в интернет-магазине esportshop.ru,"Игровое компьютерное кресло DXRacer Formula OH/FD99/NO ➤ характеристики, фото. Достоинства и недостатки модели - в отзывах покупателей, видео и обсуждениях. Скидки и акции. Большой ассортимент. Магазин настоящего кибератлета - esportshop.ru",dxracer
"OH:FD99:RN/1.jpg#{[ru]:Игровое компьютерное кресло DXRacer Formula OH/FD99/RN;}///OH:FD99:RN/2.jpg#{[ru]:Игровое компьютерное кресло DXRacer Formula OH/FD99/RN;}///OH:FD99:RN/3.jpg
#{[ru]:Игровое компьютерное кресло DXRacer Formula OH/FD99/RN;}",Кресла для геймеров///Кресла DXRacer,OH/FD99/RN,DXRacer,Игровое компьютерное кресло DXRacer Formula OH/FD99/RN,"<p><strong>Серия Formula </strong>– младшая серия DXRacer для людей ростом до 180см и не слишком крупной комплекции. При этом сохранено традиционное качество DXRacer и кресло оснащено всеми необходимыми регулировками: спинка анатомической формы с боковой поддержкой откидывается на 170 градусов, подлокотники регулируются по высоте и углу поворота, предусмотрена регулировка сиденья по высоте и механизм качания с настраиваемой степенью сопротивления. В комплекте с каждым креслом поставляются две анатомические подушки: под поясницу и под голову.
</p>
<p>Обивка кресел<strong> </strong>серии F выполнена из прочных и устойчивых к высоким нагрузкам и истиранию материалов: текстиля, эко-кожи и эко-кожи с карбоновыми вставками. Подлокотники на разных моделях кресел F-серии обладают настройками по высоте или в трех плоскостях: по высоте, углу поворота, и вперед-назад. Для качания используется механизм Топ-Ган с настраиваемой жесткостью пружины. В зависимости от модели, в основании кресла ставится алюминиевая или нейлоновая крестовина с цветными рельефными вставками и с пятью прорезиненными колесиками диаметром два дюйма.
</p>
<p>Кресло серии F будет отличным подарком для девушки или подростка.
</p>",OH/FD99/RN,Игровое,F-серия «Formula».,FD99,PU-кожа,Красный/Черный,Регулируемые по высоте,Высокая,170 градусов,до 110 кг,до 185 см,Есть,Прорезиненные,Китай,2 года,"22,3 кг","22,3 кг",,0,20790,25990,,23900,22700,0,Купить Игровое компьютерное кресло DXRacer Formula OH/FD99/RN(oh/fd99/rn) по лучшей цене с доставкой в интернет-магазине esportshop.ru,"Игровое компьютерное кресло DXRacer Formula OH/FD99/RN ➤ характеристики, фото. Достоинства и недостатки модели - в отзывах покупателей, видео и обсуждениях. Скидки и акции. Большой ассортимент. Магазин настоящего кибератлета - esportshop.ru",dxracer
OH:FD99:BN/1.jpg#{[ru]:Игровое компьютерное кресло DXRacer Formula OH/FD99/BN;}///OH:FD99:BN/2.jpg#{[ru]:Игровое компьютерное кресло DXRacer Formula OH/FD99/BN;}///OH:FD99:BN/3.jpg#{[ru]:Игровое компьютерное кресло DXRacer Formula OH/FD99/BN;},Кресла для геймеров///Кресла DXRacer,OH/FD99/BN,DXRacer,Игровое компьютерное кресло DXRacer Formula OH/FD99/BN,"<p><strong>Серия Formula </strong>– младшая серия DXRacer для людей ростом до 180см и не слишком крупной комплекции. При этом сохранено традиционное качество DXRacer и кресло оснащено всеми необходимыми регулировками: спинка анатомической формы с боковой поддержкой откидывается на 170 градусов, подлокотники регулируются по высоте и углу поворота, предусмотрена регулировка сиденья по высоте и механизм качания с настраиваемой степенью сопротивления. В комплекте с каждым креслом поставляются две анатомические подушки: под поясницу и под голову.
</p>
<p>Обивка кресел<strong> </strong>серии F выполнена из прочных и устойчивых к высоким нагрузкам и истиранию материалов: текстиля, эко-кожи и эко-кожи с карбоновыми вставками. Подлокотники на разных моделях кресел F-серии обладают настройками по высоте или в трех плоскостях: по высоте, углу поворота, и вперед-назад. Для качания используется механизм Топ-Ган с настраиваемой жесткостью пружины. В зависимости от модели, в основании кресла ставится алюминиевая или нейлоновая крестовина с цветными рельефными вставками и с пятью прорезиненными колесиками диаметром два дюйма.
</p>
<p>Кресло серии F будет отличным подарком для девушки или подростка.
</p>",OH/FD99/BN,Игровое,F-серия «Formula».,FD99,PU-кожа,Синий/Черный,Регулируемые по высоте,Высокая,170 градусов,до 110 кг,до 185 см,Есть,Прорезиненные,Китай,2 года,"22,3 кг","22,3 кг",,0,20790,25990,,23900,22700,0,Купить Игровое компьютерное кресло DXRacer Formula OH/FD99/BN(oh/fd99/bn) по лучшей цене с доставкой в интернет-магазине esportshop.ru,"Игровое компьютерное кресло DXRacer Formula OH/FD99/BN ➤ характеристики, фото. Достоинства и недостатки модели - в отзывах покупателей, видео и обсуждениях. Скидки и акции. Большой ассортимент. Магазин настоящего кибератлета - esportshop.ru",dxracer
