Detailed image,Category,Product code,Производитель,Название,Описание,Артикул,EAN,Тип кресла,Основной материал,Материал базы,Допустимая нагрузка,Высота,Высота сиденья,Ширина спинки в плечах,Ширина спинки,Ширина сиденья,Глубина сиденья,Откидывание спинки,Вес,Размер упаковки,Гарантия,"Объем, м3",Weight
,,,,,,,,,,,,,,,,,,,,,,,
,Игровые кресла///Vetragear,VG-SL2000_CB,Vertagear,Игровое кресло Vertagear Racing S-Line SL2000 (CARBON),"Vertagear SL2000 – геймерское кресло, разработанное для людей, проводящих большую часть своего времени за компьютером. Оно сочетает в себе отличное качество изготовления и сборки, а также, спортивный дизайн.

SL2000 – это младшее игровое кресло из S-line. Оно не имеет такого широкого спектра всевозможных регулировок, которые присущи более старшим моделям линейки, однако, обладает таким же великолепным качеством сборки, как и они, а также, прекрасным внешним видом. У SL2000 всего несколько настроек и регулировок: вас ждет удобный механизм качания, откидывающаяся спинка с очень широким углом откидывания, а также подлокотники, регулируемые по высоте. В комплекте поставки вас ожидает подушка-подголовник и подушка под спину, в цвет кресла.

Мы рекомендуем геймерское кресло Vertagear SL2000 детям или людям, не обладающим высоким ростом. Остальным же, мы настоятельно рекомендуем присмотреться к более старшим моделям S-line, имеющим более серьезный функционал.",VG-SL2000_CB,617724128080,Игровое,"алюминиевый сплав, стальной сплав, экокожа, пенополиуретан, ABS-пластик",алюминиевый сплав,150 кг,123 - 133 см,43 - 53 см,54 см,46 см,35 см,46 см,до 140 градусов,26.5 кг,87 × 67 × 34 см,2 года,0.192357,26.5 кг
,Игровые кресла///Vetragear,VG-SL2000_BL,Vertagear,"Игровое кресло Vertagear Racing S-Line SL2000 (Black/Blue)
","Vertagear SL2000 – геймерское кресло, разработанное для людей, проводящих большую часть своего времени за компьютером. Оно сочетает в себе отличное качество изготовления и сборки, а также, спортивный дизайн.

SL2000 – это младшее игровое кресло из S-line. Оно не имеет такого широкого спектра всевозможных регулировок, которые присущи более старшим моделям линейки, однако, обладает таким же великолепным качеством сборки, как и они, а также, прекрасным внешним видом. У SL2000 всего несколько настроек и регулировок: вас ждет удобный механизм качания, откидывающаяся спинка с очень широким углом откидывания, а также подлокотники, регулируемые по высоте. В комплекте поставки вас ожидает подушка-подголовник и подушка под спину, в цвет кресла.

Мы рекомендуем геймерское кресло Vertagear SL2000 детям или людям, не обладающим высоким ростом. Остальным же, мы настоятельно рекомендуем присмотреться к более старшим моделям S-line, имеющим более серьезный функционал.",VG-SL2000_BL,617724127601,Игровое,"алюминиевый сплав, стальной сплав, экокожа, пенополиуретан, ABS-пластик",алюминиевый сплав,150 кг,123 - 133 см,43 - 53 см,54 см,46 см,35 см,46 см,до 140 градусов,26.5 кг,87 x 67 x 34 см.,2 года,0.192,26.5 кг
,Игровые кресла///Vetragear,VG-SL2000_RD,Vertagear,Игровое кресло Vertagear Racing S-Line SL2000 (Black/Red),"Vertagear SL2000 – геймерское кресло, разработанное для людей, проводящих большую часть своего времени за компьютером. Оно сочетает в себе отличное качество изготовления и сборки, а также, спортивный дизайн.

SL2000 – это младшее игровое кресло из S-line. Оно не имеет такого широкого спектра всевозможных регулировок, которые присущи более старшим моделям линейки, однако, обладает таким же великолепным качеством сборки, как и они, а также, прекрасным внешним видом. У SL2000 всего несколько настроек и регулировок: вас ждет удобный механизм качания, откидывающаяся спинка с очень широким углом откидывания, а также подлокотники, регулируемые по высоте. В комплекте поставки вас ожидает подушка-подголовник и подушка под спину, в цвет кресла.

Мы рекомендуем геймерское кресло Vertagear SL2000 детям или людям, не обладающим высоким ростом. Остальным же, мы настоятельно рекомендуем присмотреться к более старшим моделям S-line, имеющим более серьезный функционал.",VG-SL2000_RD,617724127618,Игровое,"алюминиевый сплав, стальной сплав, экокожа, пенополиуретан, ABS-пластик",алюминиевый сплав,150 кг,123 - 133 см,43 - 53 см,54 см,46 см,35 см,46 см,до 140 градусов,26.5 кг,87 x 67 x 34 см.,2 года,0.192,26.5 кг
,Игровые кресла///Vetragear,VG-SL2000_GR,Vertagear,Игровое кресло Vertagear Racing S-Line SL2000 (Black/Green),"Vertagear SL2000 – геймерское кресло, разработанное для людей, проводящих большую часть своего времени за компьютером. Оно сочетает в себе отличное качество изготовления и сборки, а также, спортивный дизайн.

SL2000 – это младшее игровое кресло из S-line. Оно не имеет такого широкого спектра всевозможных регулировок, которые присущи более старшим моделям линейки, однако, обладает таким же великолепным качеством сборки, как и они, а также, прекрасным внешним видом. У SL2000 всего несколько настроек и регулировок: вас ждет удобный механизм качания, откидывающаяся спинка с очень широким углом откидывания, а также подлокотники, регулируемые по высоте. В комплекте поставки вас ожидает подушка-подголовник и подушка под спину, в цвет кресла.

Мы рекомендуем геймерское кресло Vertagear SL2000 детям или людям, не обладающим высоким ростом. Остальным же, мы настоятельно рекомендуем присмотреться к более старшим моделям S-line, имеющим более серьезный функционал.",VG-SL2000_GR,617724127625,Игровое,"алюминиевый сплав, стальной сплав, экокожа, пенополиуретан, ABS-пластик",алюминиевый сплав,150 кг,123 - 133 см,43 - 53 см,54 см,46 см,35 см,46 см,до 140 градусов,26.5 кг,87 x 67 x 34 см.,2 года,0.192,26.5 кг
,Игровые кресла///Vetragear,VG-SL2000_WT,Vertagear,Игровое кресло Vertagear Racing S-Line SL2000 (Black/White),"Vertagear SL2000 – геймерское кресло, разработанное для людей, проводящих большую часть своего времени за компьютером. Оно сочетает в себе отличное качество изготовления и сборки, а также, спортивный дизайн.

SL2000 – это младшее игровое кресло из S-line. Оно не имеет такого широкого спектра всевозможных регулировок, которые присущи более старшим моделям линейки, однако, обладает таким же великолепным качеством сборки, как и они, а также, прекрасным внешним видом. У SL2000 всего несколько настроек и регулировок: вас ждет удобный механизм качания, откидывающаяся спинка с очень широким углом откидывания, а также подлокотники, регулируемые по высоте. В комплекте поставки вас ожидает подушка-подголовник и подушка под спину, в цвет кресла.

Мы рекомендуем геймерское кресло Vertagear SL2000 детям или людям, не обладающим высоким ростом. Остальным же, мы настоятельно рекомендуем присмотреться к более старшим моделям S-line, имеющим более серьезный функционал.",VG-SL2000_WT,617724127632,Игровое,"алюминиевый сплав, стальной сплав, экокожа, пенополиуретан, ABS-пластик",алюминиевый сплав,150 кг,123 - 133 см,43 - 53 см,54 см,46 см,35 см,46 см,до 140 градусов,26.5 кг,87 x 67 x 34 см.,2 года,0.192,26.5 кг
,Игровые кресла///Vetragear,VG-SL2000_PK,Vertagear,Игровое кресло Vertagear Racing S-Line SL2000 (Black/Pink),"Vertagear SL2000 – геймерское кресло, разработанное для людей, проводящих большую часть своего времени за компьютером. Оно сочетает в себе отличное качество изготовления и сборки, а также, спортивный дизайн.

SL2000 – это младшее игровое кресло из S-line. Оно не имеет такого широкого спектра всевозможных регулировок, которые присущи более старшим моделям линейки, однако, обладает таким же великолепным качеством сборки, как и они, а также, прекрасным внешним видом. У SL2000 всего несколько настроек и регулировок: вас ждет удобный механизм качания, откидывающаяся спинка с очень широким углом откидывания, а также подлокотники, регулируемые по высоте. В комплекте поставки вас ожидает подушка-подголовник и подушка под спину, в цвет кресла.

Мы рекомендуем геймерское кресло Vertagear SL2000 детям или людям, не обладающим высоким ростом. Остальным же, мы настоятельно рекомендуем присмотреться к более старшим моделям S-line, имеющим более серьезный функционал.",VG-SL2000_PK,617724129582,Игровое,"алюминиевый сплав, стальной сплав, экокожа, пенополиуретан, ABS-пластик",алюминиевый сплав,150 кг,123 - 133 см,43 - 53 см,54 см,46 см,35 см,46 см,до 140 градусов,26.5 кг,87 x 67 x 34 см.,2 года,0.192,26.5 кг
,Игровые кресла///Vetragear,VG-SL2000_BP,Vertagear,Игровое кресло Vertagear Racing S-Line SL2000 (Black/Purple),"Vertagear SL2000 – геймерское кресло, разработанное для людей, проводящих большую часть своего времени за компьютером. Оно сочетает в себе отличное качество изготовления и сборки, а также, спортивный дизайн.

SL2000 – это младшее игровое кресло из S-line. Оно не имеет такого широкого спектра всевозможных регулировок, которые присущи более старшим моделям линейки, однако, обладает таким же великолепным качеством сборки, как и они, а также, прекрасным внешним видом. У SL2000 всего несколько настроек и регулировок: вас ждет удобный механизм качания, откидывающаяся спинка с очень широким углом откидывания, а также подлокотники, регулируемые по высоте. В комплекте поставки вас ожидает подушка-подголовник и подушка под спину, в цвет кресла.

Мы рекомендуем геймерское кресло Vertagear SL2000 детям или людям, не обладающим высоким ростом. Остальным же, мы настоятельно рекомендуем присмотреться к более старшим моделям S-line, имеющим более серьезный функционал.",VG-SL2000_BP,617724128844,Игровое,"алюминиевый сплав, стальной сплав, экокожа, пенополиуретан, ABS-пластик",алюминиевый сплав,150 кг,123 - 133 см,43 - 53 см,54 см,46 см,35 см,46 см,до 140 градусов,26.5 кг,87 x 67 x 34 см.,2 года,0.192,26.5 кг
,Игровые кресла///Vetragear,VG-SL2000_WBL,Vertagear,Игровое кресло Vertagear Racing S-Line SL2000 (White/Blue),"Vertagear SL2000 – геймерское кресло, разработанное для людей, проводящих большую часть своего времени за компьютером. Оно сочетает в себе отличное качество изготовления и сборки, а также, спортивный дизайн.

SL2000 – это младшее игровое кресло из S-line. Оно не имеет такого широкого спектра всевозможных регулировок, которые присущи более старшим моделям линейки, однако, обладает таким же великолепным качеством сборки, как и они, а также, прекрасным внешним видом. У SL2000 всего несколько настроек и регулировок: вас ждет удобный механизм качания, откидывающаяся спинка с очень широким углом откидывания, а также подлокотники, регулируемые по высоте. В комплекте поставки вас ожидает подушка-подголовник и подушка под спину, в цвет кресла.

Мы рекомендуем геймерское кресло Vertagear SL2000 детям или людям, не обладающим высоким ростом. Остальным же, мы настоятельно рекомендуем присмотреться к более старшим моделям S-line, имеющим более серьезный функционал.",VG-SL2000_WBL,617724127717,Игровое,"алюминиевый сплав, стальной сплав, экокожа, пенополиуретан, ABS-пластик",алюминиевый сплав,150 кг,123 - 133 см,43 - 53 см,54 см,46 см,35 см,46 см,до 140 градусов,26.5 кг,87 x 67 x 34 см.,2 года,0.192,26.5 кг
,Игровые кресла///Vetragear,VG-SL2000_WRD,Vertagear,Игровое кресло Vertagear Racing S-Line SL2000 (White/Red),"Vertagear SL2000 – геймерское кресло, разработанное для людей, проводящих большую часть своего времени за компьютером. Оно сочетает в себе отличное качество изготовления и сборки, а также, спортивный дизайн.

SL2000 – это младшее игровое кресло из S-line. Оно не имеет такого широкого спектра всевозможных регулировок, которые присущи более старшим моделям линейки, однако, обладает таким же великолепным качеством сборки, как и они, а также, прекрасным внешним видом. У SL2000 всего несколько настроек и регулировок: вас ждет удобный механизм качания, откидывающаяся спинка с очень широким углом откидывания, а также подлокотники, регулируемые по высоте. В комплекте поставки вас ожидает подушка-подголовник и подушка под спину, в цвет кресла.

Мы рекомендуем геймерское кресло Vertagear SL2000 детям или людям, не обладающим высоким ростом. Остальным же, мы настоятельно рекомендуем присмотреться к более старшим моделям S-line, имеющим более серьезный функционал.",VG-SL2000_WRD,617724127724,Игровое,"алюминиевый сплав, стальной сплав, экокожа, пенополиуретан, ABS-пластик",алюминиевый сплав,150 кг,123 - 133 см,43 - 53 см,54 см,46 см,35 см,46 см,до 140 градусов,26.5 кг,87 x 67 x 34 см.,2 года,0.192,26.5 кг
